gempermid,holddate,shareshldadj,shareshld,pctshouthld,shshldchg,comname,name,activity,close_
8589942981,2008-02-15T00:00:00Z,957600,1197,4.99,1197,Sanei Architecture Planning Ord Shs,Tower Investment Management,buy,306.25
8589942981,2010-06-15T00:00:00Z,1844800,461200,9.76,458806,Sanei Architecture Planning Ord Shs,Tower Investment Management,buy,584.75
8589943031,2007-01-29T00:00:00Z,626400,626400,3.98,626400,Maezawa Kasei Industries Ord Shs,Taiyo Fund Management,buy,1825
8589943299,2017-05-30T00:00:00Z,2482200,2482200,5.01,2482200,Aizawa Securities Ord Shs,Dalton Investments,buy,676
8589943299,2018-01-17T00:00:00Z,2979200,2979200,6.0155,497e3,Aizawa Securities Ord Shs,Dalton Investments,buy,799
8589943299,2018-05-28T00:00:00Z,3480500,3480500,7.0277,501300,Aizawa Securities Ord Shs,Dalton Investments,buy,792
8589943718,2008-10-15T00:00:00Z,4026300,4026300,5.76,4026300,Aica Kogyo Ord Shs,Ichigo Asset Management,buy,748
8589943718,2008-10-31T00:00:00Z,4754e3,4754e3,6.8,727700,Aica Kogyo Ord Shs,Ichigo Asset Management,buy,855
8589943718,2011-07-26T00:00:00Z,4846300,4846300,6.93,92300,Aica Kogyo Ord Shs,Ichigo Asset Management,buy,1120
8589943718,2012-11-30T00:00:00Z,8009800,8009800,11.86,-1682800,Aica Kogyo Ord Shs,Ichigo Asset Management,sell,1416
8589943718,2012-12-19T00:00:00Z,6658400,6658400,9.86,-1351400,Aica Kogyo Ord Shs,Ichigo Asset Management,sell,1427
8589945510,2008-10-31T00:00:00Z,1502e3,1502e3,4.95,1502e3,Yasuda Logistics Ord Shs,Tower Investment Management,buy,798
8589945634,2016-01-29T00:00:00Z,102700,1027e3,5.73,1027e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy,3270
8589945634,2016-02-15T00:00:00Z,123600,1236e3,6.89,209e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy,3e3
8589945634,2016-03-15T00:00:00Z,146500,1465e3,8.17,229e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy,3010
8589945634,2016-08-31T00:00:00Z,168700,1687e3,9.41,222e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy,2700
8589945634,2017-01-20T00:00:00Z,188200,1882e3,10.5,195e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy,3040
8589945889,2007-08-15T00:00:00Z,5624e3,28120,5.31,28120,Ichigo Ord Shs,Tower Investment Management,buy,590
8589945889,2007-08-31T00:00:00Z,6841e3,34205,6.45,6085,Ichigo Ord Shs,Tower Investment Management,buy,630
8589945889,2007-09-14T00:00:00Z,995e4,49750,9.39,15545,Ichigo Ord Shs,Tower Investment Management,buy,565
8589945889,2007-09-25T00:00:00Z,11335400,56677,10.69,6927,Ichigo Ord Shs,Tower Investment Management,buy,555
8589945889,2008-02-13T00:00:00Z,11674e3,58370,11.01,58370,Ichigo Ord Shs,Ichigo Asset Management,buy,403
8589945889,2008-02-20T00:00:00Z,12856800,64284,12.13,5914,Ichigo Ord Shs,Ichigo Asset Management,buy,474
8589945889,2008-03-05T00:00:00Z,14770400,73852,13.93,9568,Ichigo Ord Shs,Ichigo Asset Management,buy,411.5
8589945889,2008-03-14T00:00:00Z,16226800,81134,15.31,7282,Ichigo Ord Shs,Ichigo Asset Management,buy,347.5
8589945889,2008-04-01T00:00:00Z,17471800,87359,16.48,6225,Ichigo Ord Shs,Ichigo Asset Management,buy,317.5
8589945889,2008-04-14T00:00:00Z,17471800,87359,16.48,0,Ichigo Ord Shs,Ichigo Asset Management,hold,285
8589945889,2008-05-15T00:00:00Z,9968e3,49840,9.4,-6837,Ichigo Ord Shs,Tower Investment Management,sell,308.5
8589945889,2008-06-05T00:00:00Z,18632400,93162,17.58,5803,Ichigo Ord Shs,Ichigo Asset Management,buy,275
8589945889,2008-06-12T00:00:00Z,19822200,99111,18.7,5949,Ichigo Ord Shs,Ichigo Asset Management,buy,246
8589945889,2008-06-19T00:00:00Z,20966400,104832,19.78,5721,Ichigo Ord Shs,Ichigo Asset Management,buy,236
8589945889,2008-08-04T00:00:00Z,23414600,117073,22.09,12241,Ichigo Ord Shs,Ichigo Asset Management,buy,95.5
8589945889,2008-08-05T00:00:00Z,26767600,133838,25.25,16765,Ichigo Ord Shs,Ichigo Asset Management,buy,102.5
8589945889,2008-08-18T00:00:00Z,73262e3,366310,69.12,232472,Ichigo Ord Shs,Ichigo Asset Management,buy,88
8589945889,2008-11-21T00:00:00Z,73262e3,366310,48.33,0,Ichigo Ord Shs,Ichigo Asset Management,hold,37.15
8589945889,2008-12-18T00:00:00Z,73262e3,366310,48.33,0,Ichigo Ord Shs,Ichigo Asset Management,hold,39
8589945889,2009-01-19T00:00:00Z,73262e3,366310,48.33,0,Ichigo Ord Shs,Ichigo Asset Management,hold,42.05
8589945889,2009-07-17T00:00:00Z,74352200,371761,43.03,5451,Ichigo Ord Shs,Ichigo Asset Management,buy,49.3
8589945889,2010-01-25T00:00:00Z,82138800,410694,37.27,38933,Ichigo Ord Shs,Ichigo Asset Management,buy,45.3
8589945889,2010-02-17T00:00:00Z,208850400,1044252,94.76,633558,Ichigo Ord Shs,Ichigo Asset Management,buy,48
8589945889,2010-11-08T00:00:00Z,315566600,1577833,87.41,533581,Ichigo Ord Shs,Ichigo Asset Management,buy,45.85
8589945889,2011-04-25T00:00:00Z,323422800,1617114,69.21,39281,Ichigo Ord Shs,Ichigo Asset Management,buy,47.4
8589945889,2011-06-09T00:00:00Z,324815600,1624078,69.51,6964,Ichigo Ord Shs,Ichigo Asset Management,buy,45.25
8589945889,2011-08-12T00:00:00Z,326002400,1630012,70.93,5934,Ichigo Ord Shs,Ichigo Asset Management,buy,47.05
